model_key	model_label	participants	events	participant_mean_auc	mean_predicted_probability
clinical	Clinical + ancestry PCs	430	166	0.6999817451624679	0.3853503661912242
combined	Clinical + ancestry PCs + 8 PRS	430	166	0.6945965680905439	0.38544578370246185
