model_order	model_key	model_label	alpha_order	selected_alpha	outer_fit_count	outer_fit_proportion	is_ridge	source_key	source_model
5	prs_focused	PRS-focused EN	5	0.4	1	0.01	FALSE	prs_focused	secondary_prs_focused
5	prs_focused	PRS-focused EN	6	0.5	2	0.02	FALSE	prs_focused	secondary_prs_focused
5	prs_focused	PRS-focused EN	7	0.6	4	0.04	FALSE	prs_focused	secondary_prs_focused
5	prs_focused	PRS-focused EN	8	0.7	6	0.06	FALSE	prs_focused	secondary_prs_focused
5	prs_focused	PRS-focused EN	9	0.8	6	0.06	FALSE	prs_focused	secondary_prs_focused
5	prs_focused	PRS-focused EN	10	0.9	9	0.09	FALSE	prs_focused	secondary_prs_focused
5	prs_focused	PRS-focused EN	11	1.0	13	0.13	FALSE	prs_focused	secondary_prs_focused
6	summary_clinical	Summary EN: clinical	1	0.0	47	0.47	TRUE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	2	0.1	14	0.14	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	3	0.2	9	0.09	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	4	0.3	3	0.03	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	5	0.4	0	0.0	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	6	0.5	2	0.02	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	7	0.6	2	0.02	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	8	0.7	4	0.04	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	9	0.8	3	0.03	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	10	0.9	4	0.04	FALSE	summary	sensitivity_summary_clinical
6	summary_clinical	Summary EN: clinical	11	1.0	12	0.12	FALSE	summary	sensitivity_summary_clinical
7	summary_combined	Summary EN: clinical + PRS	1	0.0	32	0.32	TRUE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	2	0.1	15	0.15	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	3	0.2	3	0.03	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	4	0.3	1	0.01	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	5	0.4	2	0.02	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	6	0.5	6	0.06	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	7	0.6	2	0.02	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	8	0.7	1	0.01	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	9	0.8	8	0.08	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	10	0.9	7	0.07	FALSE	summary	sensitivity_summary_combined
7	summary_combined	Summary EN: clinical + PRS	11	1.0	23	0.23	FALSE	summary	sensitivity_summary_combined
