PRS	outer_fits	ridge_fits_alpha_0	sparse_fits_alpha_gt_0	overall_nonzero_fits	overall_nonzero_percent	sparse_nonzero_fits	sparse_nonzero_percent	positive_nonzero_fits	negative_nonzero_fits	positive_percent_among_nonzero	median_coefficient_all_fits	median_absolute_coefficient_all_fits	median_coefficient_nonzero_fits	q1_coefficient_nonzero_fits	q3_coefficient_nonzero_fits	median_coefficient_sparse_nonzero_fits
MDD	100	53	47	55	55.00000000000001	2	4.25531914893617	34	21	61.81818181818181	0.0	0.0011103265328824	0.0024611673076945	-0.00543075241600465	0.0113838336983478	0.02282292271396675
ANX	100	53	47	54	54.0	1	2.127659574468085	26	28	48.148148148148145	0.0	0.00105277604607625	-0.00019570498975659997	-0.00414317865522055	0.006611379758460351	0.0214423853923099
BIP	100	53	47	56	56.00000000000001	3	6.382978723404255	2	54	3.571428571428571	-0.003751404756377	0.006096135442754	-0.0157035308968713	-0.022266117625958197	-0.0093260943145313	-0.0027857025553471
SCZ	100	53	47	89	89.0	36	76.59574468085107	0	89	0.0	-0.04221820095628585	0.04221820095628585	-0.0440852074606559	-0.0577246316142802	-0.0339061473413468	-0.04453106115462475
NEUR	100	53	47	53	53.0	0	0.0	17	36	32.075471698113205	0.0	0.0003342088976412	-0.0048498539097103	-0.0102074165046381	0.002121090825938	""
INSOM	100	53	47	55	55.00000000000001	2	4.25531914893617	47	8	85.45454545454545	0.0	0.0016540009120152	0.0115940987234493	0.00250698645986835	0.025428760803618902	0.00672617090578695
SWB	100	53	47	54	54.0	1	2.127659574468085	3	51	5.555555555555555	-0.0054689462857383	0.0058873611907154	-0.01631900866358775	-0.02574605211418395	-0.0114975590877361	-0.0436767400217399
EA	100	53	47	76	76.0	23	48.93617021276596	76	0	100.0	0.0279918612571857	0.0279918612571857	0.03501297252179545	0.023212166685093124	0.046370518105315804	0.0228669815944069
