trait_order	trait	trait_label	participants	events	adjusted_odds_ratio_per_SD	or_lower_95	or_upper_95	wald_p_value	bh_fdr_p_value	association_survives_fdr_0_05	mean_auc_increment	auc_lower_95	auc_upper_95	auc_interval_excludes_zero	auc_positive_repetitions	bootstrap_replicates
1	MDD	Major depressive disorder	430	166	0.934505548835992	0.76652178815484	1.13930306261412	0.502849926124386	0.606798159751127	FALSE	-0.00674744432274555	-0.0207880385177072	0.00727455275648044	FALSE	0	10000
2	ANX	Anxiety	430	166	0.906420384942578	0.743583109998184	1.10491739684816	0.330809294584684	0.606798159751127	FALSE	-0.00512504563709383	-0.0255294473347937	0.0148391292442497	FALSE	0	10000
3	BIP	Bipolar disorder	430	166	0.903941357672458	0.740650140677962	1.10323340702099	0.320464236442107	0.606798159751127	FALSE	0.00151515151515151	-0.0186656854691493	0.0218149872216137	FALSE	5	10000
4	SCZ	Schizophrenia	430	166	0.83106298137697	0.681332577905064	1.01369830448855	0.0678856604185762	0.271542641674305	FALSE	0.0117104782767433	-0.0224088399050748	0.0463995755750274	FALSE	10	10000
5	NEUR	Neuroticism	430	166	0.939288102333478	0.772161541019568	1.14258751869496	0.530948389782236	0.606798159751127	FALSE	-0.00882621394669589	-0.0227696581781672	0.00467831553486673	FALSE	0	10000
6	INSOM	Insomnia	430	166	0.932285793525472	0.765673712864363	1.13515298515072	0.485169074434486	0.606798159751127	FALSE	-0.000335432639649519	-0.0151201966958744	0.0142118473895582	FALSE	5	10000
7	SWB	Subjective well-being	430	166	1.01071766425655	0.828496184268778	1.23301738286438	0.91629413787371	0.91629413787371	FALSE	-0.0104257940854326	-0.0142047165936473	-0.00680648731288792	TRUE	0	10000
8	EA	Educational attainment	430	166	1.20619018470994	0.987254362400506	1.47367772389785	0.0665835674390955	0.271542641674305	FALSE	0.0126779846659365	-0.0210045294815626	0.0458758328769624	FALSE	10	10000
