group_order	group_key	group_label	participants	minimum	q1	median	q3	maximum	mean
1	strict_eur_keep	Strict EUR keep	418	0.955	0.989	0.992	0.994	0.999	0.9908803827751196
2	not_strict_eur_keep	Not in strict EUR keep	12	0.743	0.8007500000000001	0.871	0.92025	0.938	0.8589166666666667
