source_order	source_role	source_file	source_sha256	source_stage	included_in_public_package
1	individual-PRS paired-bootstrap uncertainty	individual_prs_paired_uncertainty.tsv	4b318e9478c3ed7a36108ce4a3891037c4db61c49e29460b98580a9c8260763d	paired_uncertainty	TRUE
2	individual-PRS cross-validated point estimates	individual_prs_cross_validated_summary.tsv	517521e7a721bfe77c07dac0a77f86436c8d0e0aba4aabace14739ac14b43bd7	cross_validated_point_estimates	TRUE
